管轄分団,出火日時,注意報１,注意報２,注意報３,注意報４,注意報５,警報１,警報２,警報３,警報４,警報５,建物番号,火元区分,焼損程度,構造,焼損　床面積（㎡）,焼損　表面積（㎡）,火災種別,出火原因,天気,気温,相対湿度,火災警報,風位,風速,積雪量
第２方面隊高田分団,1月2日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,電灯・電話等の配線,晴,14,72,発令無,北西,2,
,1月5日,,,,,,,,,,,1,火元,部分焼,その他の建築物,"5,100",,建物火災,不明・調査中,晴,7,90,発令無,南南東,1,
第４方面隊東稙田分団,1月1日,大雪,着雪,雷,,,風雪,暴風,波浪,,,1,火元,全焼,防火構造建築物,105,,建物火災,たばこ,晴,4,39,発令無,西南西,3,
第２方面隊明治分団,1月5日,乾燥,低温,注意報,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,たばこ,晴,5,50,発令無,北西,2,
第７方面隊佐賀関下浦分団,1月2日,強風,波浪,,,,,,,,,1,火元,ぼや,その他の建築物,0,0,建物火災,たき火,晴,0,72,発令無,南,3,
第４方面隊東稙田分団,1月1日,大雪,着雪,雷,,,風雪,暴風,波浪,,,2,類焼,部分焼,防火構造建築物,,7,建物火災,たばこ,晴,4,39,発令無,西南西,3,
第１方面隊日岡分団,1月4日,,,,,,,,,,,,,,,,,車両火災,電気装置,晴,4,48,発令無,北西,2,
第１方面隊春日分団,1月2日,乾燥,強風,波浪,,,,,,,,,,,,,,車両火災,不明・調査中,曇,8,57,発令無,北北西,3,
第１方面隊桃園分団,1月1日,乾燥,大雪,注意報,,,風雪,暴風,波浪,警報,,,,,,,,その他の火災,たばこ,雪,1,76,発令無,西北西,4,
第２方面隊鶴崎分団,1月2日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,車両火災,排気管,晴,7,60,発令無,南西,2,
第４方面隊賀来分団,1月2日,乾燥,,,,,,,,,,,,,,,,林野火災,たき火,晴,14,31,発令無,西北西,2,
第７方面隊一尺屋分団,1月5日,乾燥,濃霧,,,,,,,,,1,火元,ぼや,木造建築物,0,,建物火災,ストーブ,晴,4,86,発令無,南南東,2,
第１方面隊春日分団,1月6日,,,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,,20,建物火災,たばこ,晴,2,63,発令無,南南東,1,
第３方面隊竹中分団,1月4日,濃霧,注意報,,,,,,,,,1,火元,部分焼,準耐火建築物（非木造）,9,,建物火災,その他,晴,13,71,発令無,南,1,
第１方面隊大道分団,1月5日,,,,,,,,,,,1,火元,ぼや,木造建築物,,,建物火災,たばこ,曇,11,58,発令無,北,1,
第２方面隊明治分団,1月3日,乾燥,,,,,,,,,,1,火元,部分焼,木造建築物,1,1,建物火災,ストーブ,晴,10,54,発令無,北北西,2,
第１方面隊中島分団,1月4日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,たばこ,晴,6,82,発令無,南,1,0
第２方面隊三佐分団,1月2日,強風,大雪,着雪,雷,波浪,,,,,,,,,,,,車両火災,放火,晴,7,67,発令無,北北西,4,
第１方面隊八幡分団,1月7日,乾燥,,,,,,,,,,,,,,,,その他の火災,火入れ,晴,8,48,発令無,北東,1,
第６方面隊小佐井分団,1月6日,乾燥,強風,波浪,注意報,,,,,,,,,,,,,林野火災,,曇,5,43,発令無,西,4,
第５方面隊大在東分団,1月3日,乾燥,強風,波浪,,,,,,,,,,,,,,その他の火災,放火の疑い,晴,9,48,発令無,北北西,1,
第２方面隊鶴崎分団,1月5日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,その他,曇,7,71,発令無,南東,2,
第５方面隊大在西分団,1月8日,,,,,,,,,,,1,火元,全焼,防火構造建築物,66,,建物火災,放火,晴,3,75,発令無,南南東,1,
第１方面隊中島分団,1月2日,乾燥,,,,,,,,,,1,類焼,全焼,防火構造建築物,263,,建物火災,,晴,9,48,発令無,北,2,
第１方面隊中島分団,1月8日,乾燥,強風,波浪,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,,晴,3,51,発令無,西南西,2,
第１方面隊中島分団,1月5日,乾燥,注意報,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,ストーブ,晴,12,57,発令無,南,1,
第４方面隊東稙田分団,1月6日,,,,,,,,,,,1,火元,ぼや,耐火建築物,,0,建物火災,たばこ,曇,10,85,発令無,南西,1,
第３方面隊判田分団,1月6日,乾燥,低温,注意報,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,電気機器,晴,7,60,発令無,北西,4,
第１方面隊春日分団,1月6日,乾燥,,,,,,,,,,1,火元,ぼや,耐火建築物,0,0,建物火災,こんろ,晴,7,65,発令無,南,1,
第１方面隊中島分団,1月2日,乾燥,,,,,,,,,,2,火元,部分焼,耐火建築物,44,2,建物火災,,晴,9,48,発令無,北,2,
第５方面隊大在西分団,1月8日,,,,,,,,,,,2,類焼,ぼや,防火構造建築物,,0,建物火災,放火,晴,3,75,発令無,南南東,1,
第２方面隊明治分団,1月6日,,,,,,,,,,,,,,,,,その他の火災,たき火,晴,8,66,発令無,北北西,1,
第３方面隊戸次分団,1月13日,乾燥,強風,低温,波浪,,,,,,,,,,,,,その他の火災,放火,晴,0,65,発令無,西,2,
第６方面隊坂ノ市分団,1月7日,,,,,,,,,,,1,火元,ぼや,木造建築物,0,0,建物火災,こんろ,晴,10,66,発令無,北北西,5,
